update_num,opponent_policy_id,num_eval_episodes,policy_win_frac,avg_game_length,avg_num_policy_decisions,avg_victory_points
25,random,32,0.0078125,323.59375,85.5,2.65625
50,random,32,0.0087890625,378.1875,102.0625,2.78125
75,random,32,0.005859375,271.875,70.75,2.5
100,random,32,0.01171875,364.46875,94.1875,2.8125
100,25 updates ago,32,0.01171875,397.5625,102.40625,3.15625
125,random,32,0.0087890625,330.40625,84.03125,2.78125
125,25 updates ago,32,0.0107421875,368.5625,91.125,2.90625
150,random,32,0.0078125,325.09375,82.40625,2.78125
150,25 updates ago,32,0.01171875,388.375,96.09375,3.15625
175,random,32,0.0078125,366.21875,94.65625,2.65625
175,25 updates ago,32,0.0087890625,349.9375,89.4375,2.78125
200,random,32,0.0107421875,344.1875,89.25,2.9375
200,25 updates ago,32,0.0078125,396.375,101.0,2.8125
200,50 updates ago,32,0.009765625,380.75,97.21875,2.71875
225,random,32,0.0107421875,350.6875,91.53125,2.78125
225,25 updates ago,32,0.01171875,332.75,86.84375,3.03125
225,50 updates ago,32,0.01171875,333.9375,84.0625,3.0625
250,random,32,0.0107421875,299.3125,76.6875,2.9375
250,25 updates ago,32,0.0048828125,327.34375,82.1875,2.53125
250,50 updates ago,32,0.00390625,410.9375,99.125,2.59375
275,random,32,0.01171875,362.75,96.90625,2.9375
275,25 updates ago,32,0.009765625,360.96875,90.0625,2.8125
275,50 updates ago,32,0.0087890625,490.65625,124.4375,2.8125
300,random,32,0.0078125,372.03125,98.0,2.6875
300,25 updates ago,32,0.005859375,419.6875,105.25,2.53125
300,50 updates ago,32,0.0068359375,442.5,113.15625,2.75
325,random,32,0.0087890625,358.90625,95.15625,2.875
325,25 updates ago,32,0.0068359375,400.03125,98.3125,2.59375
325,50 updates ago,32,0.009765625,311.53125,81.46875,2.8125
350,random,32,0.0087890625,335.375,84.4375,2.875
350,25 updates ago,32,0.0048828125,359.75,87.65625,2.65625
350,50 updates ago,32,0.0078125,363.5625,91.40625,2.65625
375,random,32,0.009765625,318.0625,86.65625,3.0
375,25 updates ago,32,0.0068359375,366.4375,91.78125,2.59375
375,50 updates ago,32,0.0078125,395.34375,101.0625,2.84375
400,random,32,0.01171875,322.5,85.625,2.96875
400,25 updates ago,32,0.0087890625,346.8125,88.90625,2.9375
400,50 updates ago,32,0.0068359375,364.40625,92.5625,2.6875
400,100 updates ago,32,0.0166015625,338.9375,89.09375,3.3125
425,random,32,0.009765625,386.9375,100.40625,2.84375
425,25 updates ago,32,0.009765625,377.53125,97.0,2.90625
425,50 updates ago,32,0.0048828125,436.625,108.03125,2.625
